#Bulk Export - Points as recorded,,,,,,,,,,,,,,
,27-69-25abc,26-68-12cbd,26-68-36bbb,25-68-12dda,25-68-15bbd,25-68-24aad,25-067-19dda,26-68-31aaa,25-67-34ccd,24-68-10aaa,24-68-20bbb,24-68-32ddc,24-68-22aab,24-67-21aab
,Cottonwood Creek #1,Earl Rutherford,Platte County #5,Platte County #4,Platte County #6,Platte County #3,Ed Wilhelm,Platte County #7,Platte County #2,Platte County #7B,Platte County #8,Platte County #9,Platte County #1A,Ed Preuit
,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits
Timestamp (UTC),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft)
2013-10-09 08:30:59,,,,,,,,,,,,,99.45,
2013-10-09 08:51:00,,,,,,,,,,,,39.87,,
2013-10-09 09:20:00,,,,,,,,,,,27.66,,,
2013-10-09 09:45:00,,,,,,,,39,,,,,,
2013-10-09 10:25:00,,,,,,,,,,11.36,,,,
2013-10-09 11:13:59,,,,,,,,,,,,,,27.11
2013-10-09 11:45:00,,,,,,,,,93,,,,,
2013-10-09 12:18:59,,,,,,,66.98,,,,,,,
2013-10-09 12:36:00,,,,,,75.32,,,,,,,,
2013-10-09 12:53:00,,,,26.64,,,,,,,,,,
2013-10-09 13:08:00,,,174.29,,,,,,,,,,,
2013-10-09 13:50:59,,133.17,,,,,,,,,,,,
2013-10-09 14:25:00,13.339999999999998,,,,,,,,,,,,,
2013-11-13 12:04:59,,,,,94.2,,,,,,,,,
2014-11-13 08:55:00,,,,,,,,,,,,,99.36,
2014-11-13 09:43:59,,,,,,,,,,,,29.689999999999998,,
2014-11-13 10:11:00,,,,,,,,,,,24.41,,,
2014-11-13 10:41:00,,,,,,,,34.66,,,,,,
2014-11-13 11:07:59,,,,,,,,,,8.75,,,,
2014-11-13 11:45:59,,,,,,,,,,,,,,25.02
2014-11-13 12:53:59,,,,,,,,,92.59,,,,,
2014-11-13 13:24:00,,,,,,,63.580000000000005,,,,,,,
2014-11-13 13:47:00,,,,,,73.91,,,,,,,,
2014-11-13 14:13:59,,,,23.44,,,,,,,,,,
2014-11-13 14:29:59,,,172.53,,,,,,,,,,,
2014-11-13 15:15:59,,131.91,,,,,,,,,,,,
2014-11-13 15:46:59,11.87,,,,,,,,,,,,,
2014-11-13 16:54:00,,,,,95.1,,,,,,,,,
2015-04-01 09:36:00,,,,,,,62.68999999999999,,,,,,,
2015-04-01 11:54:00,,,,,87.39,,,,,,,,,
2015-04-01 13:33:00,,,,,,,,,,,,33.21,,
2015-06-02 08:34:00,,,,,,,,,,,,,102.37,
2015-06-02 08:53:00,,,,,,,,,,,,32.74,,
2015-06-02 09:11:00,,,,,,,,,,,25.35,,,
2015-06-02 09:47:00,,,,,,,,33.08,,,,,,
2015-06-02 10:04:00,,,,,,,,,,9.36,,,,
2015-06-02 10:29:00,,,,,,,,,,,,,,23.21
2015-06-02 11:06:00,,,,,,,,,91.94,,,,,
2015-06-02 11:34:00,,,,,,,60.63999999999999,,,,,,,
2015-06-02 11:52:00,,,,,,73.24,,,,,,,,
2015-06-02 12:15:00,,,,19.14,,,,,,,,,,
2015-06-02 12:42:00,,,169.29,,,,,,,,,,,
2015-06-02 13:01:00,,129.91,,,,,,,,,,,,
2015-06-02 13:32:00,9.16,,,,,,,,,,,,,
2015-06-02 14:22:00,,,,,85.01,,,,,,,,,
2015-12-08 08:24:00,,,,,,,,,,,,,98.34,
2015-12-08 08:52:00,,,,,,,,,,,,28.92,,
2015-12-08 09:11:00,,,,,,,,,,,22.36,,,
2015-12-08 09:31:00,,,,,,,,31.94,,,,,,
2015-12-08 09:54:00,,,,,,,,,,8.42,,,,
2015-12-08 10:23:00,,,,,,,,,,,,,,24.85
2015-12-08 10:59:00,,,,,,,,,91.39,,,,,
2015-12-08 11:26:00,,,,,,,62.480000000000004,,,,,,,
2015-12-08 11:47:00,,,,,,73.29,,,,,,,,
2015-12-08 12:09:00,,,,21.47,,,,,,,,,,
2015-12-08 12:32:00,,,169.56,,,,,,,,,,,
2015-12-08 12:58:00,,129.86,,,,,,,,,,,,
2015-12-08 13:32:00,12.11,,,,,,,,,,,,,
2015-12-08 14:24:00,,,,,88.36,,,,,,,,,
2016-12-20 08:44:00,,,,,,,,,,,,,95.64,
2016-12-20 10:11:00,,,,,,,,,,,,30.399999999999995,,
2016-12-20 10:42:00,,,,,,,,,,,21.63,,,
2016-12-20 11:16:00,,,,,,,,30.98,,,,,,
2016-12-20 11:50:00,,,,,,,,,,9.72,,,,
2016-12-20 12:35:00,,,,,,,,,,,,,,25.04
2016-12-20 13:15:00,,,,,,,,,90.39,,,,,
2016-12-20 13:58:00,,,,,,,61.77000000000001,,,,,,,
2016-12-20 14:25:00,,,,,,72.86,,,,,,,,
2017-05-03 08:25:00,,,,19.8,,,,,,,,,,
2017-05-03 09:22:00,,,166.03,,,,,,,,,,,
2017-05-03 10:13:00,,127.94000000000001,,,,,,,,,,,,
2017-05-03 11:16:00,8.83,,,,,,,,,,,,,
2017-05-03 13:11:00,,,,,84.77,,,,,,,,,
2017-05-03 13:54:00,,,,,,,,,,9.94,,,,
2017-05-03 14:16:00,,,,,,,,30.23,,,,,,
2017-05-03 14:57:00,,,,,,,,,,,23.31,,,
2017-05-03 15:32:00,,,,,,,,,,,,,98.95,
2017-05-03 15:48:00,,,,,,,,,,,,32.03,,
2017-05-05 08:33:00,,,,,,,,,,,,,,24.98
2017-05-05 08:56:00,,,,,,,,,90.04,,,,,
2017-05-05 09:14:00,,,,,,,60.330000000000005,,,,,,,
2017-05-05 09:35:00,,,,,,72.41,,,,,,,,
2017-05-05 10:50:00,,,,19.81,,,,,,,,,,
2017-11-02 08:32:00,,,,,,,,,,,,,93.39,
2017-11-02 08:51:00,,,,,,,,,,,,27.56,,
2017-11-02 09:11:00,,,,,,,,,,,21.48,,,
2017-11-02 09:23:00,,,,,,,,31.719999999999995,,,,,,
2017-11-02 09:39:00,,,,,,,,,,8.72,,,,
2017-11-02 10:10:00,,,,,,,,,,,,,,25.51
2017-11-02 10:36:00,,,,,,,,,89.79,,,,,
2017-11-02 10:54:00,,,,,,,67.24,,,,,,,
2017-11-02 11:10:00,,,,,,73.29,,,,,,,,
2017-11-02 11:26:00,,,,22.77,,,,,,,,,,
2017-11-02 11:46:00,,,166.74,,,,,,,,,,,
2017-11-02 12:11:00,,129.4,,,,,,,,,,,,
2017-11-02 12:53:00,11.51,,,,,,,,,,,,,
2017-11-02 13:18:00,,,,,87.28,,,,,,,,,
2018-05-03 08:13:00,,,,,,,,,,,,,98.13,
2018-05-03 08:44:00,,,,,,,,,,,,32.09,,
2018-05-03 09:11:00,,,,,,,,,,,23.65,,,
2018-05-03 09:23:00,,,,,,,,30.16,,,,,,
2018-05-03 09:46:00,,,,,,,,,,9.99,,,,
2018-05-03 10:20:00,,,,,,,,,,,,,,25.38
2018-05-03 10:57:00,,,,,,,,,89.4,,,,,
2018-05-03 11:14:00,,,,,,,59.98,,,,,,,
2018-05-03 11:36:00,,,,,,72.25,,,,,,,,
2018-05-03 11:45:00,,,,20.53,,,,,,,,,,
2018-05-03 12:09:00,,,164.47,,,,,,,,,,,
2018-05-03 12:33:00,,126.78,,,,,,,,,,,,
2018-05-03 13:46:00,9.91,,,,,,,,,,,,,
2018-05-03 14:13:00,,,,,84.19,,,,,,,,,
2018-10-29 08:25:00,,,,,,,,,,,,,91.48,
2018-10-29 08:40:00,,,,,,,,,,,,30.460000000000004,,
2018-10-29 08:56:00,,,,,,,,,,,21.25,,,
2018-10-29 09:11:00,,,,,,,,32.52,,,,,,
2018-10-29 09:32:00,,,,,,,,,,7.7,,,,
2018-10-29 10:10:00,,,,,,,,,,,,,,25.54
2018-10-29 10:46:00,,,,,,,,,89.17,,,,,
2018-10-29 11:07:00,,,,,,,61.97,,,,,,,
2018-10-29 11:22:00,,,,,,72.38,,,,,,,,
2018-10-29 12:02:00,,,,22.54,,,,,,,,,,
2018-10-29 12:18:00,,,163.76,,,,,,,,,,,
2018-10-29 12:31:00,,128.12,,,,,,,,,,,,
2018-10-29 13:09:00,12.04,,,,,,,,,,,,,
2018-10-29 13:31:00,,,,,94.9,,,,,,,,,
2019-05-31 07:32:00,,,,,,,,,,,,,97.92,
2019-05-31 07:55:00,,,,,,,,,,,,37.25,,
2019-05-31 08:23:00,,,,,,,,,,,23.56,,,
2019-05-31 08:42:00,,,,,,,,30.069999999999997,,,,,,
2019-05-31 09:09:00,,,,,,,,,,9.21,,,,
2019-05-31 09:33:00,,,,,,,,,,,,,,25.2
2019-05-31 10:04:00,,,,,,,,,88.75,,,,,
2019-05-31 10:26:00,,,,,,,58.73,,,,,,,
2019-05-31 10:48:00,,,,,,72.01,,,,,,,,
2019-05-31 10:58:00,,,,19.99,,,,,,,,,,
2019-05-31 11:10:00,,,161.88,,,,,,,,,,,
2019-05-31 11:31:00,,126.23,,,,,,,,,,,,
2019-05-31 12:16:00,9.53,,,,,,,,,,,,,
2019-05-31 12:42:00,,,,,82.73,,,,,,,,,
2019-11-06 09:24:00,,,,,,,,,,,,,90.09,
2019-11-06 09:42:00,,,,,,,,,,,,29.149999999999995,,
2019-11-06 10:01:00,,,,,,,,,,,19.31,,,
2019-11-06 10:26:00,,,,,,,,29.58,,,,,,
2019-11-06 10:42:00,,,,,,,,,,7.24,,,,
2019-11-06 11:10:00,,,,,,,,,,,,,,25.14
2019-11-06 11:33:00,,,,,,,,,88.56,,,,,
2019-11-06 11:49:00,,,,,,,59.75,,,,,,,
2019-11-06 12:03:00,,,,,,71.99,,,,,,,,
2019-11-06 12:12:00,,,,17.97,,,,,,,,,,
2019-11-06 12:25:00,,,161.75,,,,,,,,,,,
2019-11-06 12:45:00,,125.77,,,,,,,,,,,,
2019-11-06 13:30:00,11.13,,,,,,,,,,,,,
2019-11-06 13:56:00,,,,,84.44,,,,,,,,,
2020-05-12 08:10:00,,,,,,,,,,,,,96.15,
2020-05-12 08:45:00,,,,,,,,,,,,30.98,,
2020-05-12 08:58:00,,,,,,,,,,,22.41,,,
2020-05-12 09:20:00,,,,,,,,28.43,,,,,,
2020-05-12 09:43:00,,,,,,,,,,9.09,,,,
2020-05-12 10:00:00,,,,,,,,,,,,,,25.25
2020-05-12 10:35:00,,,,,,,,,88.17,,,,,
2020-05-12 10:52:00,,,,,,,58.28000000000001,,,,,,,
2020-05-12 11:12:00,,,,,,71.47,,,,,,,,
2020-05-12 11:25:00,,,,17.4,,,,,,,,,,
2020-05-12 11:45:00,,,159.48,,,,,,,,,,,
2020-05-12 12:15:00,,125.59000000000002,,,,,,,,,,,,
2020-05-12 13:05:00,9.16,,,,,,,,,,,,,
2020-05-12 13:30:00,,,,,81.83,,,,,,,,,
2020-11-05 08:15:00,,,,,,,,,,,,,88.76,
2020-11-05 08:30:00,,,,,,,,,,,,30.3,,
2020-11-05 08:42:00,,,,,,,,,,,21.36,,,
2020-11-05 08:54:00,,,,,,,,30.460000000000004,,,,,,
2020-11-05 09:15:00,,,,,,,,,,7.430000000000001,,,,
2020-11-05 09:30:00,,,,,,,,,,,,,,25.7
2020-11-05 09:50:00,,,,,,,,,87.93,,,,,
2020-11-05 10:07:00,,,,,,,60.77000000000001,,,,,,,
2020-11-05 10:38:00,,,,,,71.75,,,,,,,,
2020-11-05 10:40:00,,,,21.03,,,,,,,,,,
2020-11-05 10:50:00,,,160.32,,,,,,,,,,,
2020-11-05 11:12:00,,126.98,,,,,,,,,,,,
2020-11-05 11:55:00,12.31,,,,,,,,,,,,,
2020-11-05 12:15:00,,,,,86.47,,,,,,,,,
2021-05-05 09:15:00,,,,,,,,,,,,35.79,,
2021-05-05 09:30:00,,,,,,,,,,,,,95.19,
2021-05-05 10:00:00,,,,,,,,,,,22.45,,,
2021-05-05 10:12:00,,,,,,,,28.399999999999995,,,,,,
2021-05-05 10:25:00,,,,,,,,,,8.32,,,,
2021-05-05 10:40:00,,,,,,,,,,,,,,25.29
2021-05-05 11:00:00,,,,,,,,,87.71,,,,,
2021-05-05 11:20:00,,,,,,,58.54999999999999,,,,,,,
2021-05-05 11:35:00,,,,,,71.59,,,,,,,,
2021-05-05 11:45:00,,,,19.32,,,,,,,,,,
2021-05-05 11:55:00,,,158.56,,,,,,,,,,,
2021-05-05 12:25:00,,125.52,,,,,,,,,,,,
2021-05-05 12:50:00,9.08,,,,,,,,,,,,,
2021-05-05 13:05:00,,,,,83.13,,,,,,,,,
2021-11-08 09:05:00,,,,,,,,,,,,31.23,,
2021-11-08 09:25:00,,,,,,,,,,,,,89.02,
2021-11-08 10:00:00,,,,,,,,,,,20.2,,,
2021-11-08 10:15:00,,,,,,,,30.53,,,,,,
2021-11-08 10:30:00,,,,,,,,,,7.01,,,,
2021-11-08 10:50:00,,,,,,,,,,,,,,25.44
2021-11-08 11:15:00,,,,,,,,,87.65,,,,,
2021-11-08 11:30:00,,,,,,,60.28000000000001,,,,,,,
2021-11-08 11:45:00,,,,,,71.67,,,,,,,,
2021-11-08 12:00:00,,,,21.35,,,,,,,,,,
2021-11-08 12:15:00,,,159.57,,,,,,,,,,,
2021-11-08 12:50:00,14.409999999999998,,,,,,,,,,,,,
2021-11-08 13:35:00,,,,,84.1,,,,,,,,,
2021-11-09 14:05:00,,129.7,,,,,,,,,,,,
